index,destination,coverage,type,destination_code,origin,origin_code,gender,year,migrants,M49,migrants_millions,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,alpha-3_dest,gdp_per_capita_dest,total_population_dest
25049,Ecuador,,B R,218,Anguilla,660,male,2000,196,660,0.000196,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,1382.2342175990902,12689206.0
18594,Greece,,B,300,Anguilla,660,female,2000,8,660,8e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,11638.201069721485,10805808.0
22029,Dominica,,B,212,Anguilla,660,male,2000,7,660,7e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,4867.398963237587,68511.0
22029,Dominica,,B,212,Anguilla,660,female,2000,4,660,4e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,4867.398963237587,68511.0
17226,Latvia,,B,428,Anguilla,660,female,2000,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,3278.178964408034,2367550.0
22647,Saint Lucia,,B R,662,Anguilla,660,male,2000,13,660,0.000013,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,5879.56191426207,158616.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,female,2000,538,660,0.000538,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,,108642.0
22647,Saint Lucia,,B R,662,Anguilla,660,female,2000,16,660,0.000016,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,5879.56191426207,158616.0
18594,Greece,,B,300,Anguilla,660,male,2000,9,660,9e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,11638.201069721485,10805808.0
14676,Bulgaria,,B,100,Anguilla,660,female,2000,8,660,8e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,1621.2621073899163,8170172.0
22158,Dominican Republic,,B R,214,Anguilla,660,male,2000,97,660,0.000097,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,2831.458836380334,8584190.0
25049,Ecuador,,B R,218,Anguilla,660,female,2000,193,660,0.000193,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,1382.2342175990902,12689206.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,male,2000,15,660,0.000014999999999999999,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,12027.494976822189,74912.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,male,2000,565,660,0.000565,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,,108642.0
21952,Curaçao,23,B R,531,Anguilla,660,female,2000,32,660,0.000032,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,15841.261235994916,133860.0
21952,Curaçao,23,B R,531,Anguilla,660,male,2000,11,660,0.000011,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,15841.261235994916,133860.0
22158,Dominican Republic,,B R,214,Anguilla,660,female,2000,73,660,0.000073,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,2831.458836380334,8584190.0
25049,Ecuador,,B R,218,Anguilla,660,male,2005,150,660,0.00015,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,2909.0260601438827,13846163.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,female,2005,503,660,0.000503,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,40828.74609277752,108453.0
22029,Dominica,,B,212,Anguilla,660,male,2005,9,660,9e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,5695.224423946745,68734.0
